State name,Population
JAMMU AND KASHMIR,870354
JAMMU AND KASHMIR,753745
JAMMU AND KASHMIR,133487
JAMMU AND KASHMIR,140802
JAMMU AND KASHMIR,476835
JAMMU AND KASHMIR,642415
JAMMU AND KASHMIR,616435
JAMMU AND KASHMIR,1008039
JAMMU AND KASHMIR,392232
JAMMU AND KASHMIR,1236829
JAMMU AND KASHMIR,297446
JAMMU AND KASHMIR,560440
JAMMU AND KASHMIR,266215
JAMMU AND KASHMIR,1078692
JAMMU AND KASHMIR,424483
JAMMU AND KASHMIR,409936
JAMMU AND KASHMIR,283713
JAMMU AND KASHMIR,230696
JAMMU AND KASHMIR,554985
JAMMU AND KASHMIR,314667
JAMMU AND KASHMIR,1529958
JAMMU AND KASHMIR,318898
HIMACHAL PRADESH,519080
HIMACHAL PRADESH,1510075
HIMACHAL PRADESH,31564
HIMACHAL PRADESH,437903
HIMACHAL PRADESH,999777
HIMACHAL PRADESH,454768
HIMACHAL PRADESH,521173
HIMACHAL PRADESH,381956
HIMACHAL PRADESH,580320
HIMACHAL PRADESH,529855
HIMACHAL PRADESH,814010
HIMACHAL PRADESH,84121
PUNJAB,2298323
PUNJAB,815168
PUNJAB,2193590
PUNJAB,1586625
PUNJAB,612310
PUNJAB,600163
PUNJAB,3498739
PUNJAB,995746
PUNJAB,2029074
PUNJAB,901896
PUNJAB,617508
PUNJAB,1388525
PUNJAB,769751
PUNJAB,1895686
PUNJAB,2490656
PUNJAB,1119627
PUNJAB,684627
PUNJAB,994628
PUNJAB,1655169
PUNJAB,595527
CHANDIGARH,1055450
UTTARAKHAND,330086
UTTARAKHAND,391605
UTTARAKHAND,242285
UTTARAKHAND,618931
UTTARAKHAND,1696694
UTTARAKHAND,687271
UTTARAKHAND,483439
UTTARAKHAND,259898
UTTARAKHAND,622506
UTTARAKHAND,259648
UTTARAKHAND,954605
UTTARAKHAND,1648902
UTTARAKHAND,1890422
HARYANA,561293
HARYANA,1128350
HARYANA,1214205
HARYANA,964655
HARYANA,1074304
HARYANA,1505324
HARYANA,1205437
HARYANA,1450001
HARYANA,1334152
HARYANA,942011
HARYANA,1295189
HARYANA,1743931
HARYANA,1634445
HARYANA,1061204
HARYANA,958405
HARYANA,922088
HARYANA,900332
HARYANA,1514432
HARYANA,1089263
HARYANA,1809733
HARYANA,1042708
DELHI,3656539
DELHI,887978
DELHI,2241624
DELHI,1709346
DELHI,142004
DELHI,582320
DELHI,2543243
DELHI,2292958
DELHI,2731929
RAJASTHAN,1969168
RAJASTHAN,1774692
RAJASTHAN,2363937
RAJASTHAN,2039547
RAJASTHAN,2137045
RAJASTHAN,3674179
RAJASTHAN,2548462
RAJASTHAN,1206516
RAJASTHAN,1458248
RAJASTHAN,1335551
RAJASTHAN,1634409
RAJASTHAN,6626178
RAJASTHAN,2677333
RAJASTHAN,3307743
RAJASTHAN,3687165
RAJASTHAN,669919
RAJASTHAN,2603751
RAJASTHAN,1828730
RAJASTHAN,1036346
RAJASTHAN,2037573
RAJASTHAN,2583052
RAJASTHAN,1421326
RAJASTHAN,1110906
RAJASTHAN,2408523
RAJASTHAN,1156597
RAJASTHAN,1388552
RAJASTHAN,1797485
RAJASTHAN,1544338
RAJASTHAN,1951014
RAJASTHAN,1222755
RAJASTHAN,1411129
RAJASTHAN,3068420
RAJASTHAN,867848
UTTAR PRADESH,3466382
UTTAR PRADESH,4143512
UTTAR PRADESH,3682713
UTTAR PRADESH,4772006
UTTAR PRADESH,2335819
UTTAR PRADESH,1840221
UTTAR PRADESH,3443689
UTTAR PRADESH,1303048
UTTAR PRADESH,4681645
UTTAR PRADESH,1648115
UTTAR PRADESH,3499171
UTTAR PRADESH,3673889
UTTAR PRADESH,1564708
UTTAR PRADESH,2547184
UTTAR PRADESH,4418797
UTTAR PRADESH,2498156
UTTAR PRADESH,1868529
UTTAR PRADESH,3681896
UTTAR PRADESH,4448359
UTTAR PRADESH,2031007
UTTAR PRADESH,3006538
UTTAR PRADESH,4021243
UTTAR PRADESH,4483992
UTTAR PRADESH,4092845
UTTAR PRADESH,3108367
UTTAR PRADESH,4589838
UTTAR PRADESH,3405559
UTTAR PRADESH,1885204
UTTAR PRADESH,1656616
UTTAR PRADESH,1581810
UTTAR PRADESH,1379545
UTTAR PRADESH,1796184
UTTAR PRADESH,4581268
UTTAR PRADESH,1689974
UTTAR PRADESH,1998603
UTTAR PRADESH,1221592
UTTAR PRADESH,1104285
UTTAR PRADESH,875958
